Time_Elapsed,Temperature,RMS_Current,PWM,Live_Damping,Health_Score,Status
12.95,25,15,255,0.9875,90.5,Healthy
13.94,25,15,255,0.9875,90.8,Healthy
14.91,25,15,255,0.9875,91.0,Healthy
15.92,25,15,255,0.9875,91.1,Healthy
16.92,25,15,255,0.9875,91.3,Healthy
17.96,25,15,255,0.9875,91.4,Healthy
18.94,25,15,255,0.9875,91.5,Healthy
19.94,25,15,255,0.9875,91.6,Healthy
20.93,25,15,255,0.9875,91.7,Healthy
21.92,25,15,255,0.9875,91.7,Healthy
22.91,25,15,255,0.9875,91.8,Healthy
23.93,25,15,255,0.9875,91.8,Healthy
24.91,25,15,255,0.9875,91.9,Healthy
25.91,25,15,255,0.9875,91.9,Healthy
26.94,25,15,255,0.9875,91.9,Healthy
27.95,25,15,255,0.9875,91.9,Healthy
28.91,25,15,255,0.9875,92.0,Healthy
29.96,25,15,255,0.9875,92.0,Healthy
30.94,25,15,255,0.9875,92.0,Healthy
31.93,25,15,255,0.9875,92.0,Healthy
32.92,25,15,255,0.9875,92.0,Healthy
33.91,25,15,255,0.9875,92.0,Healthy
34.93,25,15,255,0.9875,92.0,Healthy
35.96,25,15,255,0.9875,92.0,Healthy
36.92,25,15,255,0.9875,92.1,Healthy
37.93,25,15,255,0.9875,92.1,Healthy
38.93,25,15,255,0.9875,92.1,Healthy
39.90,25,15,255,0.9875,92.1,Healthy
40.91,25,15,255,0.9875,92.1,Healthy
41.90,26,15,255,0.9870,92.0,Healthy
42.90,27,124,255,0.9865,92.2,Healthy
43.93,27,237,128,0.9865,92.3,Warning_Throttled
44.92,27,237,128,0.9865,92.4,Warning_Throttled
46.03,27,237,128,0.9865,92.5,Warning_Throttled
46.97,27,237,128,0.9865,92.6,Warning_Throttled
48.01,27,237,128,0.9865,92.6,Warning_Throttled
49.00,27,237,128,0.9865,92.7,Warning_Throttled
50.00,28,237,128,0.9860,92.6,Warning_Throttled
50.96,29,160,255,0.9855,92.4,Healthy
51.99,29,231,128,0.9855,92.2,Warning_Throttled
52.96,29,231,128,0.9855,92.1,Warning_Throttled
53.99,29,232,128,0.9855,92.0,Warning_Throttled
